Linux 4.13.16-041316-generic (pl1) 	12/14/2017 	_x86_64_	(24 CPU)

02:29:32 PM   UID       PID    %usr %system  %guest    %CPU   CPU  Command
02:29:39 PM  1001      6731    1.00    1.00    0.00    2.00     6  pidstat
02:29:39 PM     0      6735  150.00  254.00    0.00  404.00    14  fio

02:29:39 PM   UID       PID    %usr %system  %guest    %CPU   CPU  Command
02:29:40 PM     0        18    0.00    1.00    0.00    1.00     1  kworker/1:0
02:29:40 PM     0        30    0.00    2.00    0.00    2.00     3  kworker/3:0
02:29:40 PM     0        36    0.00    1.00    0.00    1.00     4  kworker/4:0
02:29:40 PM     0        42    0.00    2.00    0.00    2.00     5  kworker/5:0
02:29:40 PM     0        97    0.00    1.00    0.00    1.00    14  kworker/14:0
02:29:40 PM     0       127    0.00    1.00    0.00    1.00    19  kworker/19:0
02:29:40 PM     0       224    0.00    1.00    0.00    1.00     0  kworker/0:1
02:29:40 PM     0       226    0.00    1.00    0.00    1.00    12  kworker/12:1
02:29:40 PM     0       559    0.00    1.00    0.00    1.00    23  kworker/23:2
02:29:40 PM  1001      6731    0.00    2.00    0.00    2.00     6  pidstat

02:29:40 PM   UID       PID    %usr %system  %guest    %CPU   CPU  Command
02:29:41 PM     0       224    0.00    1.00    0.00    1.00     0  kworker/0:1
02:29:41 PM 64045      1600    1.00    0.00    0.00    1.00    21  ceph-mon
02:29:41 PM  1001      2678    1.00    0.00    0.00    1.00    23  tmux
02:29:41 PM  1001      6731    0.00    1.00    0.00    1.00     6  pidstat

02:29:41 PM   UID       PID    %usr %system  %guest    %CPU   CPU  Command
02:29:42 PM     0      1687    1.00    0.00    0.00    1.00    11  dockerd
02:29:42 PM  1001      5974    1.00    0.00    0.00    1.00    11  vim
02:29:42 PM  1001      6731    0.00    1.00    0.00    1.00     6  pidstat
