Linux 4.13.16-041316-generic (pl1) 	12/14/2017 	_x86_64_	(24 CPU)

03:50:20 PM   UID       PID    %usr %system  %guest    %CPU   CPU  Command
03:50:21 PM     0         9    0.00    0.98    0.00    0.98     0  rcu_sched
03:50:21 PM     0       224    0.00    0.98    0.00    0.98     0  kworker/0:1
03:50:21 PM 64045      1629    0.98    0.00    0.00    0.98    21  ceph-mgr
03:50:21 PM  1001      2678    0.00    0.98    0.00    0.98    23  tmux
03:50:21 PM     0      3004    0.00    0.98    0.00    0.98     9  kworker/9:1
03:50:21 PM  1001      8309    0.98    0.00    0.00    0.98    20  pidstat

03:50:21 PM   UID       PID    %usr %system  %guest    %CPU   CPU  Command
03:50:22 PM  1001      2678    1.00    0.00    0.00    1.00    23  tmux
03:50:22 PM  1001      5974    1.00    0.00    0.00    1.00     7  vim
03:50:22 PM  1001      8309    1.00    1.00    0.00    2.00    20  pidstat

03:50:22 PM   UID       PID    %usr %system  %guest    %CPU   CPU  Command
03:50:23 PM     0        91    0.00    1.00    0.00    1.00    13  kworker/13:0
03:50:23 PM     0       133    0.00    1.00    0.00    1.00    20  kworker/20:0
03:50:23 PM     0       156    0.00    1.00    0.00    1.00     7  kworker/7:1
03:50:23 PM     0       176    0.00    1.00    0.00    1.00    11  kworker/11:1
03:50:23 PM     0       238    0.00    1.00    0.00    1.00    15  kworker/15:1
03:50:23 PM     0       556    0.00    1.00    0.00    1.00    10  kworker/10:2
03:50:23 PM     0       559    0.00    1.00    0.00    1.00    23  kworker/23:2
03:50:23 PM     0       749    0.00    2.00    0.00    2.00    22  kworker/22:2
03:50:23 PM     0       792    0.00    1.00    0.00    1.00    21  kworker/21:2
03:50:23 PM     0      2106    1.00    0.00    0.00    1.00    23  containerd
03:50:23 PM  1001      2680    0.00    2.00    0.00    2.00     6  bash
03:50:23 PM     0      2890    0.00    1.00    0.00    1.00     8  kworker/8:0
03:50:23 PM     0      3257    0.00    1.00    0.00    1.00    18  kworker/18:1
03:50:23 PM  1001      8309    0.00    1.00    0.00    1.00    20  pidstat
03:50:23 PM     0      8313   85.00   40.00    0.00  125.00    13  fio

03:50:23 PM   UID       PID    %usr %system  %guest    %CPU   CPU  Command
03:50:24 PM     0        18    0.00    1.00    0.00    1.00     1  kworker/1:0
03:50:24 PM     0        24    0.00    1.00    0.00    1.00     2  kworker/2:0
03:50:24 PM     0        30    0.00    1.00    0.00    1.00     3  kworker/3:0
03:50:24 PM     0        36    0.00    1.00    0.00    1.00     4  kworker/4:0
