Linux 4.13.16-041316-generic (pl1) 	12/14/2017 	_x86_64_	(24 CPU)

03:26:16 PM   UID       PID    %usr %system  %guest    %CPU   CPU  Command
03:26:17 PM     0       486    0.00    0.99    0.00    0.99     0  jbd2/sda1-8
03:26:17 PM     0      3004    0.00    0.99    0.00    0.99     9  kworker/9:1
03:26:17 PM  1001      6994    0.99    1.98    0.00    2.97    11  pidstat

03:26:17 PM   UID       PID    %usr %system  %guest    %CPU   CPU  Command
03:26:18 PM 64045      1600    0.00    1.00    0.00    1.00    21  ceph-mon
03:26:18 PM 64045      1629    1.00    0.00    0.00    1.00    21  ceph-mgr
03:26:18 PM     0      2106    1.00    0.00    0.00    1.00    23  containerd
03:26:18 PM  1001      2678    1.00    0.00    0.00    1.00     9  tmux
03:26:18 PM     0      3257    0.00    1.00    0.00    1.00    18  kworker/18:1
03:26:18 PM  1001      5974    1.00    0.00    0.00    1.00    18  vim

03:26:18 PM   UID       PID    %usr %system  %guest    %CPU   CPU  Command
03:26:19 PM     0         9    0.00    1.00    0.00    1.00     0  rcu_sched
03:26:19 PM     0       133    0.00    1.00    0.00    1.00    20  kworker/20:0
03:26:19 PM     0       224    0.00    1.00    0.00    1.00     0  kworker/0:1
03:26:19 PM     0       559    0.00    2.00    0.00    2.00    23  kworker/23:2
03:26:19 PM  1001      2680    0.00    1.00    0.00    1.00     8  bash
03:26:19 PM     0      2890    0.00    2.00    0.00    2.00     8  kworker/8:0
03:26:19 PM     0      3257    0.00    1.00    0.00    1.00    18  kworker/18:1
03:26:19 PM  1001      6994    2.00    1.00    0.00    3.00    11  pidstat
03:26:19 PM     0      6996    0.00    1.00    0.00    1.00    23  sudo
03:26:19 PM     0      6998   85.00   30.00    0.00  115.00    17  fio

03:26:19 PM   UID       PID    %usr %system  %guest    %CPU   CPU  Command
03:26:20 PM     0        18    0.00    2.00    0.00    2.00     1  kworker/1:0
03:26:20 PM     0        24    0.00    2.00    0.00    2.00     2  kworker/2:0
03:26:20 PM     0        30    0.00    2.00    0.00    2.00     3  kworker/3:0
03:26:20 PM     0        36    0.00    2.00    0.00    2.00     4  kworker/4:0
03:26:20 PM     0        42    0.00    2.00    0.00    2.00     5  kworker/5:0
03:26:20 PM     0       115    0.00    2.00    0.00    2.00    17  kworker/17:0
03:26:20 PM     0       176    0.00    1.00    0.00    1.00    11  kworker/11:1
03:26:20 PM     0       224    0.00    1.00    0.00    1.00     0  kworker/0:1
03:26:20 PM     0       226    0.00    2.00    0.00    2.00    12  kworker/12:1
03:26:20 PM     0       556    0.00    1.00    0.00    1.00    10  kworker/10:2
03:26:20 PM  1001      6994    1.00    0.00    0.00    1.00    11  pidstat
03:26:20 PM     0      6998  140.00  207.00    0.00  347.00    17  fio

03:26:20 PM   UID       PID    %usr %system  %guest    %CPU   CPU  Command
03:26:21 PM     0        18    0.00    2.00    0.00    2.00     1  kworker/1:0
03:26:21 PM     0        24    0.00    1.00    0.00    1.00     2  kworker/2:0
03:26:21 PM     0        30    0.00    2.00    0.00    2.00     3  kworker/3:0
03:26:21 PM     0        36    0.00    2.00    0.00    2.00     4  kworker/4:0
03:26:21 PM     0        42    0.00    3.00    0.00    3.00     5  kworker/5:0
03:26:21 PM     0       115    0.00    2.00    0.00    2.00    17  kworker/17:0
03:26:21 PM     0       224    0.00    1.00    0.00    1.00     0  kworker/0:1
03:26:21 PM     0       226    0.00    3.00    0.00    3.00    12  kworker/12:1
03:26:21 PM  1001      6994    1.00    1.00    0.00    2.00    11  pidstat
03:26:21 PM     0      6998  150.00  263.00    0.00  413.00    17  fio

03:26:21 PM   UID       PID    %usr %system  %guest    %CPU   CPU  Command
03:26:22 PM     0        18    0.00    2.00    0.00    2.00     1  kworker/1:0
03:26:22 PM     0        24    0.00    2.00    0.00    2.00     2  kworker/2:0
03:26:22 PM     0        30    0.00    2.00    0.00    2.00     3  kworker/3:0
03:26:22 PM     0        36    0.00    2.00    0.00    2.00     4  kworker/4:0
03:26:22 PM     0        42    0.00    2.00    0.00    2.00     5  kworker/5:0
03:26:22 PM     0        91    0.00    1.00    0.00    1.00    13  kworker/13:0
03:26:22 PM     0       115    0.00    2.00    0.00    2.00    17  kworker/17:0
03:26:22 PM     0       224    0.00    1.00    0.00    1.00     0  kworker/0:1
03:26:22 PM     0       226    0.00    3.00    0.00    3.00    12  kworker/12:1
03:26:22 PM     0      1687    1.00    0.00    0.00    1.00    18  dockerd
03:26:22 PM     0      1728    0.00    1.00    0.00    1.00     6  kworker/6:2
03:26:22 PM  1001      2678    1.00    0.00    0.00    1.00    10  tmux
03:26:22 PM  1001      5974    2.00    0.00    0.00    2.00    18  vim
03:26:22 PM  1001      6994    0.00    1.00    0.00    1.00    11  pidstat
03:26:22 PM     0      6998  142.00  282.00    0.00  424.00    17  fio

03:26:22 PM   UID       PID    %usr %system  %guest    %CPU   CPU  Command
03:26:23 PM     0        18    0.00    1.00    0.00    1.00     1  kworker/1:0
03:26:23 PM     0        24    0.00    2.00    0.00    2.00     2  kworker/2:0
03:26:23 PM     0        30    0.00    2.00    0.00    2.00     3  kworker/3:0
03:26:23 PM     0        36    0.00    1.00    0.00    1.00     4  kworker/4:0
03:26:23 PM     0        91    0.00    3.00    0.00    3.00    13  kworker/13:0
03:26:23 PM     0       115    0.00    2.00    0.00    2.00    17  kworker/17:0
03:26:23 PM     0       224    0.00    2.00    0.00    2.00     0  kworker/0:1
03:26:23 PM     0       226    0.00    2.00    0.00    2.00    12  kworker/12:1
03:26:23 PM     0       556    0.00    1.00    0.00    1.00    10  kworker/10:2
03:26:23 PM 64045      1600    1.00    0.00    0.00    1.00    21  ceph-mon
03:26:23 PM  1001      6994    1.00    1.00    0.00    2.00    11  pidstat
03:26:23 PM     0      6998  153.00  289.00    0.00  442.00    17  fio

03:26:23 PM   UID       PID    %usr %system  %guest    %CPU   CPU  Command
03:26:24 PM     0        18    0.00    1.00    0.00    1.00     1  kworker/1:0
03:26:24 PM     0        24    0.00    2.00    0.00    2.00     2  kworker/2:0
03:26:24 PM     0        30    0.00    2.00    0.00    2.00     3  kworker/3:0
03:26:24 PM     0        36    0.00    3.00    0.00    3.00     4  kworker/4:0
03:26:24 PM     0        91    0.00    2.00    0.00    2.00    13  kworker/13:0
03:26:24 PM     0       115    0.00    2.00    0.00    2.00    17  kworker/17:0
03:26:24 PM     0       224    0.00    1.00    0.00    1.00     0  kworker/0:1
03:26:24 PM     0       226    0.00    3.00    0.00    3.00    12  kworker/12:1
03:26:24 PM     0      3004    0.00    1.00    0.00    1.00     9  kworker/9:1
03:26:24 PM  1001      6994    1.00    1.00    0.00    2.00    11  pidstat
03:26:24 PM     0      6998  154.00  279.00    0.00  433.00    17  fio

03:26:24 PM   UID       PID    %usr %system  %guest    %CPU   CPU  Command
03:26:25 PM     0       224    0.00    1.00    0.00    1.00     0  kworker/0:1
03:26:25 PM     0       556    0.00    1.00    0.00    1.00    10  kworker/10:2
03:26:25 PM  1001      2678    1.00    0.00    0.00    1.00    10  tmux
03:26:25 PM  1001      6994    1.00    0.00    0.00    1.00    11  pidstat

03:26:25 PM   UID       PID    %usr %system  %guest    %CPU   CPU  Command
03:26:26 PM  1001      5974    1.00    0.00    0.00    1.00    18  vim
03:26:26 PM     0      6926    1.00    0.00    0.00    1.00    23  kworker/u130:0
03:26:26 PM  1001      6994    0.00    1.00    0.00    1.00    11  pidstat
