Linux 4.13.16-041316-generic (pl1) 	12/14/2017 	_x86_64_	(24 CPU)

02:29:01 PM   UID       PID    %usr %system  %guest    %CPU   CPU  Command
02:29:02 PM  1001      2678    0.98    0.00    0.00    0.98    10  tmux
02:29:02 PM  1001      6693    0.98    0.98    0.00    1.96     9  pidstat

02:29:02 PM   UID       PID    %usr %system  %guest    %CPU   CPU  Command
02:29:03 PM     0       224    0.00    1.00    0.00    1.00     0  kworker/0:1
02:29:03 PM     0      2106    1.00    0.00    0.00    1.00    23  containerd
02:29:03 PM     0      2890    0.00    1.00    0.00    1.00     8  kworker/8:0
02:29:03 PM     0      3257    0.00    1.00    0.00    1.00    18  kworker/18:1
02:29:03 PM  1001      5974    1.00    0.00    0.00    1.00     8  vim
02:29:03 PM  1001      6693    0.00    1.00    0.00    1.00     9  pidstat

02:29:03 PM   UID       PID    %usr %system  %guest    %CPU   CPU  Command
02:29:04 PM     0        36    0.00    1.00    0.00    1.00     4  kworker/4:0
02:29:04 PM     0       127    0.00    1.00    0.00    1.00    19  kworker/19:0
02:29:04 PM     0       133    0.00    1.00    0.00    1.00    20  kworker/20:0
02:29:04 PM     0       156    0.00    1.00    0.00    1.00     7  kworker/7:1
02:29:04 PM     0       556    0.00    1.00    0.00    1.00    10  kworker/10:2
02:29:04 PM     0       559    0.00    2.00    0.00    2.00    23  kworker/23:2
02:29:04 PM     0      1687    1.00    0.00    0.00    1.00    11  dockerd
02:29:04 PM  1001      2680    0.00    1.00    0.00    1.00     9  bash
02:29:04 PM     0      3004    0.00    3.00    0.00    3.00     9  kworker/9:1
02:29:04 PM  1001      6693    1.00    1.00    0.00    2.00     9  pidstat
02:29:04 PM     0      6695    0.00    1.00    0.00    1.00    19  sudo
02:29:04 PM     0      6697   95.00   43.00    0.00  138.00    17  fio

02:29:04 PM   UID       PID    %usr %system  %guest    %CPU   CPU  Command
02:29:05 PM     0        18    0.00    2.00    0.00    2.00     1  kworker/1:0
02:29:05 PM     0        24    0.00    2.00    0.00    2.00     2  kworker/2:0
02:29:05 PM     0        30    0.00    2.00    0.00    2.00     3  kworker/3:0
02:29:05 PM     0        36    0.00    2.00    0.00    2.00     4  kworker/4:0
02:29:05 PM     0        42    0.00    2.00    0.00    2.00     5  kworker/5:0
02:29:05 PM     0        91    0.00    1.00    0.00    1.00    13  kworker/13:0
02:29:05 PM     0       115    0.00    2.00    0.00    2.00    17  kworker/17:0
02:29:05 PM     0       224    0.00    2.00    0.00    2.00     0  kworker/0:1
02:29:05 PM     0       226    0.00    1.00    0.00    1.00    12  kworker/12:1
02:29:05 PM  1001      2678    1.00    0.00    0.00    1.00    10  tmux
02:29:05 PM  1001      6693    0.00    1.00    0.00    1.00     9  pidstat
02:29:05 PM     0      6697  139.00  205.00    0.00  344.00    17  fio

02:29:05 PM   UID       PID    %usr %system  %guest    %CPU   CPU  Command
02:29:06 PM     0        18    0.00    1.00    0.00    1.00     1  kworker/1:0
02:29:06 PM     0        24    0.00    1.00    0.00    1.00     2  kworker/2:0
02:29:06 PM     0        30    0.00    2.00    0.00    2.00     3  kworker/3:0
02:29:06 PM     0        36    0.00    2.00    0.00    2.00     4  kworker/4:0
02:29:06 PM     0        42    0.00    3.00    0.00    3.00     5  kworker/5:0
02:29:06 PM     0       115    0.00    3.00    0.00    3.00    17  kworker/17:0
02:29:06 PM     0       224    0.00    1.00    0.00    1.00     0  kworker/0:1
02:29:06 PM     0       556    0.00    1.00    0.00    1.00    10  kworker/10:2
02:29:06 PM 64045      1600    1.00    0.00    0.00    1.00    21  ceph-mon
02:29:06 PM 64045      1629    1.00    0.00    0.00    1.00    21  ceph-mgr
02:29:06 PM  1001      6691    0.00    1.00    0.00    1.00    23  mpstat
02:29:06 PM  1001      6693    1.00    1.00    0.00    2.00     9  pidstat
02:29:06 PM     0      6697  146.00  211.00    0.00  357.00    17  fio

02:29:06 PM   UID       PID    %usr %system  %guest    %CPU   CPU  Command
02:29:07 PM     0        18    0.00    2.00    0.00    2.00     1  kworker/1:0
