Linux 4.13.16-041316-generic (pl1) 	12/14/2017 	_x86_64_	(24 CPU)

03:37:20 PM   UID       PID    %usr %system  %guest    %CPU   CPU  Command
03:37:21 PM     0       224    0.00    0.98    0.00    0.98     0  kworker/0:1
03:37:21 PM 64045      1600    0.00    0.98    0.00    0.98    21  ceph-mon
03:37:21 PM  1001      2678    0.00    0.98    0.00    0.98     9  tmux
03:37:21 PM     0      3004    0.00    0.98    0.00    0.98     9  kworker/9:1
03:37:21 PM  1001      5974    0.98    0.00    0.00    0.98     7  vim
03:37:21 PM  1001      7627    0.00    0.98    0.00    0.98    19  pidstat

03:37:21 PM   UID       PID    %usr %system  %guest    %CPU   CPU  Command
03:37:22 PM     0         9    0.00    1.00    0.00    1.00     0  rcu_sched
03:37:22 PM  1001      2678    1.00    0.00    0.00    1.00     9  tmux
03:37:22 PM  1001      2680    0.00    1.00    0.00    1.00     8  bash
03:37:22 PM  1001      5974    1.00    0.00    0.00    1.00     7  vim
03:37:22 PM  1001      7627    1.00    1.00    0.00    2.00    19  pidstat
03:37:22 PM     0      7629    0.00    1.00    0.00    1.00    10  sudo

03:37:22 PM   UID       PID    %usr %system  %guest    %CPU   CPU  Command
03:37:23 PM     0        18    0.00    1.00    0.00    1.00     1  kworker/1:0
03:37:23 PM     0        24    0.00    1.00    0.00    1.00     2  kworker/2:0
03:37:23 PM     0        25    0.00    3.00    0.00    3.00     2  kworker/2:0H
03:37:23 PM     0        30    0.00    1.00    0.00    1.00     3  kworker/3:0
03:37:23 PM     0        36    0.00    1.00    0.00    1.00     4  kworker/4:0
03:37:23 PM     0        42    0.00    1.00    0.00    1.00     5  kworker/5:0
03:37:23 PM     0        91    0.00    1.00    0.00    1.00    13  kworker/13:0
03:37:23 PM     0       115    0.00    1.00    0.00    1.00    17  kworker/17:0
03:37:23 PM     0       127    0.00    1.00    0.00    1.00    19  kworker/19:0
03:37:23 PM     0       156    0.00    1.00    0.00    1.00     7  kworker/7:1
03:37:23 PM     0       176    0.00    1.00    0.00    1.00    11  kworker/11:1
03:37:23 PM     0       224    0.00    1.00    0.00    1.00     0  kworker/0:1
03:37:23 PM     0       226    0.00    1.00    0.00    1.00    12  kworker/12:1
03:37:23 PM     0       391    0.00    3.00    0.00    3.00     0  kworker/0:1H
03:37:23 PM     0       556    0.00    2.00    0.00    2.00    10  kworker/10:2
03:37:23 PM     0       792    0.00    2.00    0.00    2.00    21  kworker/21:2
03:37:23 PM     0      1687    0.00    1.00    0.00    1.00    18  dockerd
03:37:23 PM     0      1728    0.00    1.00    0.00    1.00     6  kworker/6:2
03:37:23 PM     0      2106    1.00    0.00    0.00    1.00    23  containerd
03:37:23 PM     0      2180    0.00    4.00    0.00    4.00     1  kworker/1:1H
03:37:23 PM     0      2182    0.00    2.00    0.00    2.00     3  kworker/3:1H
03:37:23 PM     0      2183    0.00    3.00    0.00    3.00     4  kworker/4:1H
03:37:23 PM     0      2184    0.00    3.00    0.00    3.00     5  kworker/5:1H
03:37:23 PM     0      2185    0.00    3.00    0.00    3.00    13  kworker/13:1H
03:37:23 PM     0      2186    0.00    3.00    0.00    3.00    12  kworker/12:1H
03:37:23 PM     0      3004    0.00    2.00    0.00    2.00     9  kworker/9:1
03:37:23 PM  1001      7627    0.00    1.00    0.00    1.00    19  pidstat
03:37:23 PM     0      7631  186.00  109.00    0.00  295.00    17  fio

03:37:23 PM   UID       PID    %usr %system  %guest    %CPU   CPU  Command
03:37:24 PM     0        18    0.00    2.00    0.00    2.00     1  kworker/1:0
03:37:24 PM     0        24    0.00    3.00    0.00    3.00     2  kworker/2:0
03:37:24 PM     0        25    0.00    9.00    0.00    9.00     2  kworker/2:0H
03:37:24 PM     0        30    0.00    3.00    0.00    3.00     3  kworker/3:0
03:37:24 PM     0        36    0.00    3.00    0.00    3.00     4  kworker/4:0
03:37:24 PM     0        42    0.00    3.00    0.00    3.00     5  kworker/5:0
