Linux 4.13.16-041316-generic (pl1) 	12/14/2017 	_x86_64_	(24 CPU)

03:36:45 PM   UID       PID    %usr %system  %guest    %CPU   CPU  Command
03:36:46 PM  1001      2678    0.99    0.00    0.00    0.99     9  tmux
03:36:46 PM     0      3004    0.00    0.99    0.00    0.99     9  kworker/9:1
03:36:46 PM  1001      7588    0.99    0.99    0.00    1.98    18  pidstat

03:36:46 PM   UID       PID    %usr %system  %guest    %CPU   CPU  Command
03:36:47 PM     0       224    0.00    1.00    0.00    1.00     0  kworker/0:1
03:36:47 PM  1001      2678    1.00    0.00    0.00    1.00     9  tmux
03:36:47 PM     0      3257    0.00    1.00    0.00    1.00    18  kworker/18:1
03:36:47 PM  1001      5974    1.00    0.00    0.00    1.00     7  vim
03:36:47 PM  1001      7588    0.00    1.00    0.00    1.00    18  pidstat

03:36:47 PM   UID       PID    %usr %system  %guest    %CPU   CPU  Command
03:36:48 PM     0       133    0.00    1.00    0.00    1.00    20  kworker/20:0
03:36:48 PM     0       156    0.00    1.00    0.00    1.00     7  kworker/7:1
03:36:48 PM     0       176    0.00    1.00    0.00    1.00    11  kworker/11:1
03:36:48 PM     0       556    0.00    2.00    0.00    2.00    10  kworker/10:2
03:36:48 PM     0       749    0.00    1.00    0.00    1.00    22  kworker/22:2
03:36:48 PM     0      1687    1.00    0.00    0.00    1.00    18  dockerd
03:36:48 PM     0      1728    0.00    1.00    0.00    1.00     6  kworker/6:2
03:36:48 PM  1001      2680    0.00    2.00    0.00    2.00     8  bash
03:36:48 PM     0      2890    0.00    1.00    0.00    1.00     8  kworker/8:0
03:36:48 PM     0      3257    0.00    1.00    0.00    1.00    18  kworker/18:1
03:36:48 PM  1001      7588    1.00    2.00    0.00    3.00    18  pidstat
03:36:48 PM     0      7590    0.00    1.00    0.00    1.00    11  sudo
03:36:48 PM     0      7592  115.00   28.00    0.00  143.00     0  fio

03:36:48 PM   UID       PID    %usr %system  %guest    %CPU   CPU  Command
03:36:49 PM     0        18    0.00    2.00    0.00    2.00     1  kworker/1:0
03:36:49 PM     0        24    0.00    3.00    0.00    3.00     2  kworker/2:0
