Linux 4.13.16-041316-generic (pl1) 	12/14/2017 	_x86_64_	(24 CPU)

03:40:48 PM   UID       PID    %usr %system  %guest    %CPU   CPU  Command
03:40:49 PM     0        60    0.00    0.98    0.00    0.98     8  ksoftirqd/8
03:40:49 PM     0       127    0.00    0.98    0.00    0.98    19  kworker/19:0
03:40:49 PM     0       224    0.00    0.98    0.00    0.98     0  kworker/0:1
03:40:49 PM 64045      1629    0.98    0.98    0.00    1.96    21  ceph-mgr
03:40:49 PM  1001      2678    0.98    0.00    0.00    0.98     6  tmux
03:40:49 PM     0      7366    0.00    0.98    0.00    0.98    21  kworker/u130:1
03:40:49 PM  1001      7906    0.98    0.00    0.00    0.98    23  pidstat

03:40:49 PM   UID       PID    %usr %system  %guest    %CPU   CPU  Command
03:40:50 PM 64045      1600    0.00    1.00    0.00    1.00    21  ceph-mon
03:40:50 PM     0      1728    0.00    1.00    0.00    1.00     6  kworker/6:2
03:40:50 PM  1001      5974    2.00    0.00    0.00    2.00    19  vim
03:40:50 PM  1001      7906    1.00    1.00    0.00    2.00    23  pidstat

03:40:50 PM   UID       PID    %usr %system  %guest    %CPU   CPU  Command
03:40:51 PM     0       156    0.00    1.00    0.00    1.00     7  kworker/7:1
03:40:51 PM     0      1728    0.00    1.00    0.00    1.00     6  kworker/6:2
03:40:51 PM  1001      2680    0.00    2.00    0.00    2.00    22  bash
03:40:51 PM     0      3004    0.00    1.00    0.00    1.00     9  kworker/9:1
03:40:51 PM     0      3257    0.00    1.00    0.00    1.00    18  kworker/18:1
03:40:51 PM  1001      7906    1.00    1.00    0.00    2.00    23  pidstat
03:40:51 PM     0      7910   53.00   31.00    0.00   84.00    17  fio

03:40:51 PM   UID       PID    %usr %system  %guest    %CPU   CPU  Command
03:40:52 PM     0        18    0.00    2.00    0.00    2.00     1  kworker/1:0
03:40:52 PM     0        24    0.00    1.00    0.00    1.00     2  kworker/2:0
03:40:52 PM     0        25    0.00    1.00    0.00    1.00     2  kworker/2:0H
03:40:52 PM     0        30    0.00    2.00    0.00    2.00     3  kworker/3:0
03:40:52 PM     0        36    0.00    1.00    0.00    1.00     4  kworker/4:0
03:40:52 PM     0       115    0.00    1.00    0.00    1.00    17  kworker/17:0
03:40:52 PM     0       176    0.00    1.00    0.00    1.00    11  kworker/11:1
03:40:52 PM     0       224    0.00    1.00    0.00    1.00     0  kworker/0:1
03:40:52 PM     0       391    0.00    1.00    0.00    1.00     0  kworker/0:1H
03:40:52 PM 64045      1600    1.00    0.00    0.00    1.00    21  ceph-mon
03:40:52 PM     0      1728    0.00    1.00    0.00    1.00     6  kworker/6:2
03:40:52 PM     0      2180    0.00    3.00    0.00    3.00     1  kworker/1:1H
03:40:52 PM     0      2182    0.00    8.00    0.00    8.00     3  kworker/3:1H
03:40:52 PM     0      2183    0.00    7.00    0.00    7.00     4  kworker/4:1H
03:40:52 PM     0      2890    0.00    1.00    0.00    1.00     8  kworker/8:0
03:40:52 PM  1001      7906    0.00    1.00    0.00    1.00    23  pidstat
03:40:52 PM     0      7910   81.00  173.00    0.00  254.00    17  fio

03:40:52 PM   UID       PID    %usr %system  %guest    %CPU   CPU  Command
03:40:53 PM     0        18    0.00    2.00    0.00    2.00     1  kworker/1:0
03:40:53 PM     0        24    0.00    1.00    0.00    1.00     2  kworker/2:0
03:40:53 PM     0        25    0.00    2.00    0.00    2.00     2  kworker/2:0H
03:40:53 PM     0        30    0.00    1.00    0.00    1.00     3  kworker/3:0
03:40:53 PM     0        36    0.00    3.00    0.00    3.00     4  kworker/4:0
03:40:53 PM     0       115    0.00    3.00    0.00    3.00    17  kworker/17:0
03:40:53 PM     0       224    0.00    1.00    0.00    1.00     0  kworker/0:1
03:40:53 PM     0      2180    0.00    2.00    0.00    2.00     1  kworker/1:1H
03:40:53 PM     0      2182    0.00    9.00    0.00    9.00     3  kworker/3:1H
03:40:53 PM     0      2183    0.00   10.00    0.00   10.00     4  kworker/4:1H
03:40:53 PM  1001      2678    1.00    0.00    0.00    1.00     6  tmux
03:40:53 PM     0      3257    0.00    1.00    0.00    1.00    18  kworker/18:1
03:40:53 PM  1001      7906    1.00    1.00    0.00    2.00    23  pidstat
03:40:53 PM     0      7910  103.00  229.00    0.00  332.00    17  fio

03:40:53 PM   UID       PID    %usr %system  %guest    %CPU   CPU  Command
03:40:54 PM     0        18    0.00    1.00    0.00    1.00     1  kworker/1:0
03:40:54 PM     0        24    0.00    2.00    0.00    2.00     2  kworker/2:0
03:40:54 PM     0        25    0.00   10.00    0.00   10.00     2  kworker/2:0H
03:40:54 PM     0        36    0.00    2.00    0.00    2.00     4  kworker/4:0
03:40:54 PM     0       115    0.00    2.00    0.00    2.00    17  kworker/17:0
03:40:54 PM     0       224    0.00    1.00    0.00    1.00     0  kworker/0:1
03:40:54 PM     0       391    0.00    2.00    0.00    2.00     0  kworker/0:1H
03:40:54 PM     0       559    0.00    1.00    0.00    1.00    23  kworker/23:2
03:40:54 PM     0      2180    0.00    2.00    0.00    2.00     1  kworker/1:1H
03:40:54 PM     0      2183    0.00   10.00    0.00   10.00     4  kworker/4:1H
03:40:54 PM     0      3004    0.00    1.00    0.00    1.00     9  kworker/9:1
03:40:54 PM  1001      5974    1.00    0.00    0.00    1.00    19  vim
03:40:54 PM  1001      7906    0.00    1.00    0.00    1.00    23  pidstat
03:40:54 PM     0      7910  102.00  229.00    0.00  331.00    17  fio

03:40:54 PM   UID       PID    %usr %system  %guest    %CPU   CPU  Command
03:40:55 PM     0        18    0.00    2.00    0.00    2.00     1  kworker/1:0
03:40:55 PM     0        24    0.00    3.00    0.00    3.00     2  kworker/2:0
03:40:55 PM     0        25    0.00    9.00    0.00    9.00     2  kworker/2:0H
03:40:55 PM     0        36    0.00    1.00    0.00    1.00     4  kworker/4:0
03:40:55 PM     0       115    0.00    2.00    0.00    2.00    17  kworker/17:0
03:40:55 PM     0       224    0.00    2.00    0.00    2.00     0  kworker/0:1
03:40:55 PM     0       391    0.00    2.00    0.00    2.00     0  kworker/0:1H
03:40:55 PM     0      1687    1.00    0.00    0.00    1.00    18  dockerd
03:40:55 PM     0      1728    0.00    1.00    0.00    1.00     6  kworker/6:2
03:40:55 PM     0      2106    1.00    0.00    0.00    1.00    23  containerd
03:40:55 PM     0      2180    0.00    2.00    0.00    2.00     1  kworker/1:1H
03:40:55 PM     0      2183    0.00    9.00    0.00    9.00     4  kworker/4:1H
03:40:55 PM  1001      7906    1.00    0.00    0.00    1.00    23  pidstat
03:40:55 PM     0      7910   99.00  227.00    0.00  326.00    17  fio

03:40:55 PM   UID       PID    %usr %system  %guest    %CPU   CPU  Command
03:40:56 PM     0        18    0.00    1.00    0.00    1.00     1  kworker/1:0
03:40:56 PM     0        24    0.00    2.00    0.00    2.00     2  kworker/2:0
03:40:56 PM     0        25    0.00   10.00    0.00   10.00     2  kworker/2:0H
03:40:56 PM     0        36    0.00    2.00    0.00    2.00     4  kworker/4:0
03:40:56 PM     0       115    0.00    2.00    0.00    2.00    17  kworker/17:0
03:40:56 PM     0       224    0.00    2.00    0.00    2.00     0  kworker/0:1
03:40:56 PM     0       391    0.00    2.00    0.00    2.00     0  kworker/0:1H
03:40:56 PM     0      2180    0.00    2.00    0.00    2.00     1  kworker/1:1H
03:40:56 PM     0      2183    0.00   11.00    0.00   11.00     4  kworker/4:1H
03:40:56 PM  1001      7904    0.00    1.00    0.00    1.00     9  mpstat
03:40:56 PM  1001      7906    1.00    1.00    0.00    2.00    23  pidstat
03:40:56 PM     0      7910   94.00  238.00    0.00  332.00    17  fio

03:40:56 PM   UID       PID    %usr %system  %guest    %CPU   CPU  Command
03:40:57 PM     0        18    0.00    1.00    0.00    1.00     1  kworker/1:0
03:40:57 PM     0        25    0.00    1.00    0.00    1.00     2  kworker/2:0H
03:40:57 PM     0        36    0.00    1.00    0.00    1.00     4  kworker/4:0
03:40:57 PM     0       391    0.00    1.00    0.00    1.00     0  kworker/0:1H
03:40:57 PM     0      1687    0.00    1.00    0.00    1.00    18  dockerd
03:40:57 PM     0      2183    0.00    1.00    0.00    1.00     4  kworker/4:1H
03:40:57 PM  1001      2678    1.00    0.00    0.00    1.00     6  tmux
03:40:57 PM  1001      7906    0.00    1.00    0.00    1.00    23  pidstat

03:40:57 PM   UID       PID    %usr %system  %guest    %CPU   CPU  Command
03:40:58 PM     0         9    0.00    1.00    0.00    1.00     0  rcu_sched
03:40:58 PM     0       224    0.00    1.00    0.00    1.00     0  kworker/0:1
03:40:58 PM     0      1728    0.00    1.00    0.00    1.00     6  kworker/6:2
03:40:58 PM  1001      7906    1.00    1.00    0.00    2.00    23  pidstat

03:40:58 PM   UID       PID    %usr %system  %guest    %CPU   CPU  Command
03:40:59 PM  1001      2567    0.00    1.00    0.00    1.00     8  sshd
